timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765752399,2.3324062231251337,2.3490002155303955,1.9000500440597534,10.000950813293457
1770765752415,,3.109950065612793,2.3779501914978027,7.479000568389893
1770765752469,3.6222373695550885,,,
1770765752508,,,,7.563000202178955
1770765752509,,1.0180500745773315,3.3960001468658447,
1770765752536,1.5405283497173816,,,
1770765752556,,,,7.728000164031982
1770765752557,,3.220050096511841,2.0500500202178955,
1770765752599,1.6826611124018565,,,
1770765752617,,4.297950267791748,1.7299500703811646,11.394001007080078
1770765752661,1.833419631603056,,,
1770765752677,,,,8.728950500488281
1770765752678,,5.055000305175781,1.8679500818252563,
1770765752719,2.731561575779127,,,
1770765752745,,,,8.961000442504883
1770765752746,,2.0400002002716064,3.078000068664551,
1770765752800,4.940807345437732,,,
1770765752819,,0.5800500512123108,5.284950256347656,10.092000007629395
1770765752860,1.848805495558279,,,
1770765752880,,4.40595006942749,3.4990501403808594,3.570000171661377
1770765752921,1.7085971240937836,,,
1770765752940,,4.284000396728516,2.3519999980926514,12.445050239562988
1770765752983,3.659995223078711,,,
1770765753002,,4.426949977874756,2.9700000286102295,6.490950107574463
1770765753067,3.95913420489174,,,
1770765753082,,,,10.17300033569336
1770765753083,,4.03695011138916,2.2540500164031982,
1770765753123,1.3655612974345335,,,
1770765753143,,,,8.19795036315918
1770765753144,,4.353000164031982,3.1110000610351562,
1770765753185,0.46488792145452945,,,
1770765753219,,5.2699503898620605,2.9599502086639404,7.79295015335083
1770765753249,0.8610969631167654,,,
1770765753265,,,,6.961950302124023
1770765753266,,4.81695032119751,1.9039500951766968,
1770765753325,0.7620869064733946,,,
1770765753346,,,1.3680000305175781,7.3909502029418945
1770765753347,,7.219050407409668,,
1770765753387,3.3304357968659146,,,
1770765753406,,9.004950523376465,3.2089500427246094,10.894050598144531
1770765753448,1.8196880268120401,,,
1770765753467,,5.623950481414795,2.353950023651123,8.361000061035156
1770765753508,0.5839657477530661,,,
1770765753527,,,,7.852950572967529
1770765753528,,6.40500020980835,1.990950107574463,
1770765753590,3.272905474926328,,,
1770765753609,,,,12.718050956726074
1770765753610,,5.155050277709961,1.1239500045776367,
1770765753651,3.2016300341370303,,,
1770765753673,,3.807000160217285,2.4499502182006836,10.852950096130371
1770765753711,0.8165910502543855,,,
1770765753730,,,,8.964000701904297
1770765753731,,4.509000301361084,1.7650500535964966,
1770765753772,1.3873522533762361,,,
1770765753791,,,,7.4239501953125
1770765753792,,2.6959500312805176,2.059950113296509,
1770765753853,2.7224947691307575,,,
1770765753872,,,,5.284050464630127
1770765753873,,4.256999969482422,2.2080001831054688,
1770765753913,3.7230503638193837,,,
1770765753933,,2.425950050354004,2.386050224304199,6.1050004959106445
1770765753973,2.1525398068175376,,,
1770765753995,,2.8590002059936523,3.2950501441955566,4.924950122833252
1770765754040,2.240207555555461,,,
1770765754055,,,,6.844950199127197
1770765754056,,5.100000381469727,3.6160502433776855,
1770765754116,1.4426315599343118,,,
1770765754135,,,,8.45895004272461
1770765754136,,,3.999000072479248,
1770765754137,,5.056950092315674,,
1770765754179,2.003105375339589,,,
1770765754196,,,3.9660000801086426,9.52695083618164
1770765754197,,4.401000022888184,,
1770765754238,2.500744994739976,,,
1770765754258,,,,10.077000617980957
1770765754259,,3.520050048828125,4.0759501457214355,
1770765754299,1.4714308277065211,,,
1770765754324,,,,8.422950744628906
1770765754325,,3.6439502239227295,3.939000129699707,
1770765754379,1.6153691338226939,,,
1770765754399,,,,11.51400089263916
1770765754400,,3.9630002975463867,2.8999500274658203,
1770765754443,2.233272040176057,,,
1770765754459,,,1.0180500745773315,8.260050773620605
1770765754460,,6.003000259399414,,
1770765754502,1.8056152733276398,,,
1770765754529,,,,6.2820000648498535
1770765754530,,3.4050002098083496,3.8269500732421875,
1770765754561,2.123760535094483,,,
1770765754580,,,,5.490000247955322
1770765754581,,5.608050346374512,3.829050064086914,
1770765754649,3.3008149094530106,,,
1770765754667,,,4.219950199127197,5.857950210571289
1770765754668,,3.5629501342773438,,
1770765754703,1.237820416208257,,,
1770765754723,,2.6700000762939453,3.8680500984191895,6.466950416564941
1770765754763,6.484267636065236,,,
1770765754783,,,,7.056000232696533
1770765754784,,4.777050018310547,4.2270002365112305,
1770765754825,7.325599349046732,,,
1770765754844,,,,14.137950897216797
1770765754845,,6.402000427246094,3.373950242996216,
1770765754905,4.858958530058286,,,
1770765754924,,1.91100013256073,3.2280001640319824,8.293050765991211
1770765754973,6.005417603162907,,,
1770765754985,,,,6.586050510406494
1770765754986,,3.4459502696990967,0.8359500169754028,
