timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770770161603,0.053544686685839095,0.18900001049041748,9.145050048828125,-3.4830002784729004
1770770161642,,0.20805001258850098,9.193050384521484,-3.5400002002716064
1770770161663,0.016489039410598275,0.1870500147342682,9.195000648498535,-3.5209500789642334
1770770161718,,0.17505000531673431,,
1770770161719,,0.19395001232624054,9.15195083618164,-3.4830002784729004
1770770161744,0.06318242810455006,,,
1770770161745,,0.2989500164985657,9.232950210571289,-3.4930500984191895
1770770161779,,0.36900001764297485,9.196950912475586,-3.454050064086914
1770770161806,0.12413427326452806,,,
1770770161807,,0.43095001578330994,9.21405029296875,-3.454050064086914
1770770161829,,0.40005001425743103,,
1770770161830,,,9.196950912475586,-3.44700026512146
1770770161848,,0.3349500298500061,,
1770770161849,,,9.195000648498535,-3.4830002784729004
1770770161864,0.06569539393187335,,,
1770770161865,,0.25905001163482666,9.160950660705566,-3.574050188064575
1770770161884,,0.16305001080036163,9.17805004119873,-3.5880000591278076
1770770161909,,0.08205000311136246,9.148950576782227,-3.6289501190185547
1770770161926,0.10064925820998283,0.07200000435113907,,-3.6600000858306885
1770770161927,,,9.148950576782227,
1770770161981,,0.09405000507831573,,-3.6720001697540283
1770770161982,,,9.175950050354004,-3.6190502643585205
1770770161994,,0.30900001525878906,9.181050300598145,-3.627000093460083
1770770162008,0.15332599799433017,0.45000001788139343,9.259950637817383,-3.624000072479248
1770770162047,,0.6199500560760498,9.247950553894043,-3.574050188064575
1770770162048,,0.6250500082969666,9.259950637817383,-3.507000207901001
1770770162067,0.11628627739166937,,,
1770770162068,,0.534000039100647,9.21405029296875,-3.466050148010254
1770770162104,,0.39000001549720764,,-3.44700026512146
1770770162105,,,9.223950386047363,
1770770162110,,0.2659500241279602,9.271950721740723,-3.4300501346588135
1770770162130,0.1629287967735276,0.14400000870227814,,-3.4519500732421875
1770770162131,,,9.159000396728516,
1770770162161,,0.07200000435113907,,-3.4780502319335938
1770770162162,,,9.127950668334961,
1770770162192,0.28169334754096653,-0.12300000339746475,9.085050582885742,-3.4999501705169678
1770770162214,,-0.19305001199245453,,
1770770162215,,,9.075000762939453,-3.5809502601623535
