timestamp,LinearAccelerometerSensor,AccX,AccY,AccZ
1770765810324,7.193856786868272,1.53000009059906,,
1770765810364,,,,-4.720950126647949
1770765810365,,2.611950159072876,-1.902000069618225,
1770765810377,,7.600050449371338,-1.897050142288208,-1.9360500574111938
1770765810389,,,,-3.7579500675201416
1770765810390,4.357508105797377,9.498000144958496,-1.6410000324249268,
1770765810413,,,,-6.2989501953125
1770765810414,,10.97295093536377,-2.0809500217437744,
1770765810424,,11.152950286865234,-2.0190000534057617,-3.8209502696990967
1770765810444,,,,-1.3069500923156738
1770765810445,,13.39905071258545,-2.373000144958496,
1770765810446,7.074440913132178,,,
1770765810468,,10.240950584411621,-4.5329999923706055,-6.435000419616699
1770765810491,,6.838050365447998,-5.662950038909912,-8.87700080871582
1770765810525,2.6547118277330335,8.557050704956055,-7.213950157165527,-8.29800033569336
1770765810559,,6.256050109863281,-8.138999938964844,-1.2829500436782837
1770765810570,,4.743000030517578,-8.838000297546387,0.24105000495910645
1770765810586,8.080209134860677,6.13200044631958,-8.770950317382812,2.8750500679016113
1770765810625,,,-8.068950653076172,-2.140050172805786
1770765810626,,4.128000259399414,-5.788050174713135,
1770765810645,,,-5.665050506591797,-5.748000144958496
1770765810646,4.363236224728522,10.506000518798828,,
1770765810694,,6.4960503578186035,-5.244000434875488,-5.764950275421143
1770765810710,2.636403337616183,7.117950439453125,-4.573950290679932,-4.63200044631958
1770765810742,,,,-7.849950313568115
1770765810743,,7.948950290679932,-4.645050048828125,
1770765810759,,,,-7.64400053024292
1770765810760,,6.879000186920166,-4.588050365447998,
1770765810769,,,,-3.8610002994537354
1770765810770,,5.742000102996826,-2.8470001220703125,
1770765810786,,11.701050758361816,-4.063950061798096,-3.658050060272217
1770765810787,3.5454941805155773,,,
1770765810827,,10.449000358581543,-6.357000350952148,-4.120050430297852
1770765810853,,,,-2.013000011444092
1770765810854,,9.592050552368164,-2.8350000381469727,-2.218950033187866
1770765810855,2.769482524749889,,,
1770765810894,,,-3.2809500694274902,-3.4260001182556152
1770765810895,,9.964950561523438,,
1770765810908,0.8405962035057781,5.305950164794922,-3.7930502891540527,-4.045950412750244
1770765810960,,,,-3.7540502548217773
1770765810961,,,-4.885050296783447,-3.696000099182129
1770765810962,,6.276000499725342,,
1770765810969,,,-5.124000072479248,-3.793950080871582
1770765810970,1.3817268894693044,6.886050224304199,,
1770765811018,,,,-5.995050430297852
1770765811019,,6.12000036239624,-5.53095006942749,-5.53695011138916
1770765811050,,,,-5.713950157165527
1770765811051,,,-5.806950092315674,
1770765811052,1.8089450305539065,7.180950164794922,,
1770765811081,,6.474000453948975,-5.614950180053711,-0.2440500110387802
1770765811096,,7.954050540924072,-6.661050319671631,-0.27900001406669617
1770765811111,,,-6.829050540924072,-2.9059500694274902
1770765811112,2.6816159974458627,8.350950241088867,,
1770765811162,,,-4.8349504470825195,-5.92995023727417
1770765811163,,8.91195011138916,-7.0159502029418945,
1770765811174,,5.779950141906738,-4.449000358581543,-3.6190502643585205
1770765811175,1.5990144137841604,,,
1770765811230,,,,-2.800950050354004
1770765811231,,4.666950225830078,-6.523050308227539,-2.050950050354004
1770765811232,4.15641956413686,9.880950927734375,-5.008950233459473,-4.4599504470825195
1770765811293,,10.06605052947998,-4.272000312805176,-7.216050148010254
1770765811313,2.640508886188333,6.091050148010254,-4.387050151824951,-0.505050003528595
1770765811348,,,-4.090050220489502,-0.527999997138977
1770765811351,,5.686950206756592,,
1770765811376,,,-4.801050186157227,-5.053950309753418
1770765811377,3.73602718052585,7.798050403594971,-3.8620502948760986,
1770765811404,,8.797050476074219,-3.271050214767456,-4.666050434112549
1770765811429,,,,-3.6910502910614014
1770765811430,,7.815000534057617,-2.902050256729126,
1770765811435,,6.184950351715088,-4.216950416564941,-4.7470502853393555
1770765811436,1.6933036891840523,,,
1770765811460,,8.683950424194336,-5.032950401306152,-6.49500036239624
1770765811496,,8.91195011138916,-6.400050163269043,-5.323950290679932
1770765811497,1.7822268300513497,,,
1770765811567,,,,-4.192049980163574
1770765811568,,7.105950355529785,-6.364950180053711,-1.5700501203536987
1770765811586,5.2440225996378675,8.713050842285156,-5.2510504722595215,2.0970001220703125
1770765811633,,10.426950454711914,-4.789050102233887,0.984000027179718
1770765811638,,-0.7270500063896179,-2.470950126647949,-2.02305006980896
1770765811639,8.378227409126763,,,
1770765811677,,,,-1.7400001287460327
1770765811678,,1.8799500465393066,-4.564050197601318,
1770765811700,,9.376049995422363,-5.014050006866455,-2.6430001258850098
1770765811701,3.624230533357852,,,
1770765811734,,,,-7.264050483703613
1770765811735,,1.5010501146316528,-2.2200000286102295,
1770765811759,,,,-6.177000522613525
1770765811760,2.40148851011388,8.679000854492188,-5.538000106811523,
1770765811793,,8.557050704956055,-4.746000289916992,-5.640000343322754
1770765811834,,4.729050159454346,-4.906050205230713,-4.948050022125244
1770765811848,,,-3.4990501403808594,-2.9130001068115234
1770765811849,4.11340111596775,9.2920503616333,,
